url,adress
https://spb.hh.ru/vacancy/30489704,"Приморская, Санкт-Петербург, набережная реки Смоленки, 35к1"
https://spb.hh.ru/vacancy/30680385,"Московские ворота, Санкт-Петербург, Заставская улица, 33"
https://spb.hh.ru/vacancy/30739289,"Санкт-Петербург, Рыбацкое, посёлок Металлострой"
https://spb.hh.ru/vacancy/30659117,"Санкт-Петербург, Маяковская, "
https://spb.hh.ru/vacancy/30707781,"Пролетарская, Санкт-Петербург, улица Бабушкина, 123"
https://spb.hh.ru/vacancy/29981067,"Василеостровская, Санкт-Петербург, Большой проспект Васильевского острова, 18"
https://spb.hh.ru/vacancy/30609433,"Площадь Ленина, Санкт-Петербург, улица Михайлова, 21"
https://spb.hh.ru/vacancy/22462383,"Парк Победы, Санкт-Петербург, 2 линия"
https://spb.hh.ru/vacancy/30547157,"Пушкинская, Санкт-Петербург, Введенский канал, 7"
https://spb.hh.ru/vacancy/30507482,"Чернышевская, Санкт-Петербург, Захарьевская улица, 25"
https://spb.hh.ru/vacancy/30618767,"Парнас, Санкт-Петербург, 6-й Верхний переулок, 12"
https://spb.hh.ru/vacancy/30118878,"Ладожская, Санкт-Петербург, Ириновский проспект, 2"
https://spb.hh.ru/vacancy/30335415,"Нарвская, Санкт-Петербург, 1 линия, метро Нарвская"
https://spb.hh.ru/vacancy/30384521,"Маяковская, Санкт-Петербург, Невский пр., 57"
https://spb.hh.ru/vacancy/30504534,"Адмиралтейская, Санкт-Петербург, Большая Морская улица, 57"
https://spb.hh.ru/vacancy/30732517,"Площадь Восстания, Санкт-Петербург, улица Восстания, 4"
https://spb.hh.ru/vacancy/28741955,"Санкт-Петербург, Нарвская, "
https://spb.hh.ru/vacancy/30740871,"Московские ворота, Санкт-Петербург, Заставская улица, 13Э"
https://spb.hh.ru/vacancy/30394380,"Площадь Мужества, Санкт-Петербург, улица Шателена, 3"
https://spb.hh.ru/vacancy/30573193,"Площадь Ленина, Санкт-Петербург, улица Михайлова, 11"
https://spb.hh.ru/vacancy/29626705,"Василеостровская, Санкт-Петербург, 7-я линия Васильевского острова"
https://spb.hh.ru/vacancy/30719160,"Санкт-Петербург, Улица Дыбенко, деревня Кудрово, Мурманское шоссе, 12-й километр"
https://spb.hh.ru/vacancy/30728294,"Электросила, Санкт-Петербург, Варшавская улица, 2А"
https://spb.hh.ru/vacancy/30102587,"Сенная площадь, Санкт-Петербург"
https://spb.hh.ru/vacancy/18562648,"Санкт-Петербург, Новокрестовская, "
https://spb.hh.ru/vacancy/30374277,"Старая Деревня, Санкт-Петербург, Стародеревенская улица, 11А"
https://spb.hh.ru/vacancy/30737304,"Фрунзенская, Санкт-Петербург, Киевская улица, 5к3"
https://spb.hh.ru/vacancy/30396919,"Ладожская, Санкт-Петербург, Бокситогорская улица, 13"
https://spb.hh.ru/vacancy/28518800,"Бухарестская, Санкт-Петербург, улица Салова, 72"
https://spb.hh.ru/vacancy/30494116,"Санкт-Петербург, Ладожская, "
https://spb.hh.ru/vacancy/29669155,"Площадь Ленина, Санкт-Петербург, Комиссара Смирнова, 9"
https://spb.hh.ru/vacancy/28685249,"Крестовский остров, Санкт-Петербург, проезд Петровская коса, 1к1"
https://spb.hh.ru/vacancy/30681080,"Санкт-Петербург, Нарвская, "
https://spb.hh.ru/vacancy/30640909,"Горьковская, Санкт-Петербург, Петроградская набережная, 18"
https://spb.hh.ru/vacancy/30356278,"Площадь Ленина, Санкт-Петербург, улица Михайлова, 11"
https://spb.hh.ru/vacancy/30617981,"Чернышевская, Санкт-Петербург, Литейный проспект, 26"
https://spb.hh.ru/vacancy/30461518,"Ленинский проспект, Санкт-Петербург, 1 линия, метро Ленинский проспект"
https://spb.hh.ru/vacancy/30351454,"Ладожская, Санкт-Петербург, Заневский проспект, 67к2"
https://spb.hh.ru/vacancy/30570996,"Василеостровская, Санкт-Петербург, Биржевая линия, 14"
https://spb.hh.ru/vacancy/30717668,"Санкт-Петербург, Невский проспект, "
https://spb.hh.ru/vacancy/28566487,"Лиговский проспект, Санкт-Петербург, улица Черняховского, 59"
https://spb.hh.ru/vacancy/30436326,"Нарвская, Санкт-Петербург, Старо-Петергофский проспект, 19"
https://spb.hh.ru/vacancy/30701896,"Чернышевская, Санкт-Петербург, Очаковская улица"
https://spb.hh.ru/vacancy/30328212,"Лесная, Санкт-Петербург, Лесной проспект, 63"
https://spb.hh.ru/vacancy/30375692,"Парнас, Санкт-Петербург, 2 линия, метро Парнас"
https://spb.hh.ru/vacancy/30624454,"Нарвская, Санкт-Петербург, набережная Обводного Канала, 211"
https://spb.hh.ru/vacancy/29630020,"Лиговский проспект, Санкт-Петербург, улица Черняховского, 59"
https://spb.hh.ru/vacancy/29672377,"Удельная, Санкт-Петербург, Московско-Петроградская линия"
https://spb.hh.ru/vacancy/29440431,"Санкт-Петербург, Старая Деревня, "
https://spb.hh.ru/vacancy/30317382,"Санкт-Петербург, Горьковская, "
https://spb.hh.ru/vacancy/30439906,"Санкт-Петербург, Горьковская, "
https://spb.hh.ru/vacancy/30599284,"Ладожская, Санкт-Петербург, Магнитогорская улица, 51О"
https://spb.hh.ru/vacancy/30639802,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 116к1Е"
https://spb.hh.ru/vacancy/30721099,"Выборгская, Санкт-Петербург, 1 линия, метро Выборгская"
